省,省确诊,省治愈,省死亡,日期
新疆维吾尔自治区,65,6,1,2020/2/13
安徽省,934,193,6,2020/2/13
福建省,281,63,0,2020/2/13
湖北省,54406,4817,1457,2020/2/14
广东省,1294,409,2,2020/2/14
上海市,326,124,1,2020/2/14
黑龙江省,425,68,11,2020/2/14
北京市,375,98,4,2020/2/14
陕西省,232,60,0,2020/2/14
四川省,470,119,1,2020/2/14
辽宁省,119,31,1,2020/2/14
贵州省,143,40,1,2020/2/14
广西壮族自治区,235,44,2,2020/2/14
浙江省,1162,428,0,2020/2/14
山东省,532,156,2,2020/2/14
云南省,168,42,0,2020/2/14
海南省,162,39,4,2020/2/14
内蒙古自治区,68,6,0,2020/2/14
宁夏回族自治区,70,33,0,2020/2/14
甘肃省,90,49,2,2020/2/14
天津市,121,33,3,2020/2/14
重庆市,538,184,5,2020/2/14
江苏省,604,186,0,2020/2/14
河南省,1212,391,13,2020/2/14
湖南省,1001,425,2,2020/2/14
山西省,127,42,0,2020/2/14
河北省,291,101,3,2020/2/14
吉林省,88,26,1,2020/2/14
江西省,913,210,1,2020/2/14
新疆维吾尔自治区,70,10,1,2020/2/14
安徽省,950,221,6,2020/2/14
福建省,285,71,0,2020/2/14
青海省,18,13,0,2020/2/14
湖北省,56249,5666,1596,2020/2/15
广东省,1316,465,2,2020/2/15
上海市,328,140,1,2020/2/15
黑龙江省,445,78,11,2020/2/15
北京市,380,108,4,2020/2/15
陕西省,236,70,0,2020/2/15
四川省,481,131,3,2020/2/15
辽宁省,121,40,1,2020/2/15
贵州省,144,46,1,2020/2/15
广西壮族自治区,237,49,2,2020/2/15
浙江省,1167,456,0,2020/2/15
山东省,537,173,2,2020/2/15
云南省,171,42,0,2020/2/15
海南省,162,52,4,2020/2/15
内蒙古自治区,70,8,0,2020/2/15
甘肃省,90,51,2,2020/2/15
天津市,124,45,3,2020/2/15
重庆市,547,187,5,2020/2/15
江苏省,617,218,0,2020/2/15
河南省,1231,433,13,2020/2/15
